# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/s2162520/test/DE10_JIWY_PINOUT.csv
# Generated on: Mon Apr 29 17:49:38 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
PITCH_DIRA,Bidir,PIN_AH24,4A,B4A_N0,PIN_AH24,3.3-V LVTTL,,,,,,,,,,,,,
PITCH_DIRB,Bidir,PIN_AG25,4A,B4A_N0,PIN_AG25,3.3-V LVTTL,,,,,,,,,,,,,
PITCH_ENC_A,Bidir,PIN_AG24,4A,B4A_N0,PIN_AG24,3.3-V LVTTL,,,,,,,,,,,,,
PITCH_ENC_B,Bidir,PIN_AH21,4A,B4A_N0,PIN_AH21,3.3-V LVTTL,,,,,,,,,,,,,
PITCH_PWM_VAL,Bidir,PIN_AG23,4A,B4A_N0,PIN_AG23,3.3-V LVTTL,,,,,,,,,,,,,
YAW_DIRA,Bidir,PIN_AA15,4A,B4A_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
YAW_DIRB,Bidir,PIN_Y15,4A,B4A_N0,PIN_Y15,3.3-V LVTTL,,,,,,,,,,,,,
YAW_ENC_A,Bidir,PIN_AE25,5A,B5A_N0,PIN_AE25,3.3-V LVTTL,,,,,,,,,,,,,
YAW_ENC_B,Bidir,PIN_AG26,4A,B4A_N0,PIN_AG26,3.3-V LVTTL,,,,,,,,,,,,,
YAW_PWM_VAL,Bidir,PIN_AG28,4A,B4A_N0,PIN_AG28,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK1_50,Unknown,PIN_V11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK2_50,Unknown,PIN_Y13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK3_50,Unknown,PIN_E11,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_I2C_SCL,Unknown,PIN_U10,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_I2C_SDA,Unknown,PIN_AA4,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_I2S,Unknown,PIN_T13,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_LRCLK,Unknown,PIN_T11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_MCLK,Unknown,PIN_U11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_SCLK,Unknown,PIN_T12,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_CLK,Unknown,PIN_AG5,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_DE,Unknown,PIN_AD19,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[0],Unknown,PIN_AD12,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[1],Unknown,PIN_AE12,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[2],Unknown,PIN_W8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[3],Unknown,PIN_Y8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[4],Unknown,PIN_AD11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[5],Unknown,PIN_AD10,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[6],Unknown,PIN_AE11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[7],Unknown,PIN_Y5,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[8],Unknown,PIN_AF10,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[9],Unknown,PIN_Y4,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[10],Unknown,PIN_AE9,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[11],Unknown,PIN_AB4,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[12],Unknown,PIN_AE7,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[13],Unknown,PIN_AF6,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[14],Unknown,PIN_AF8,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[15],Unknown,PIN_AF5,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
